Imdb Rank,Title,Total Episode,Type,Mean Episode Rating,Mean Episode Rating Count,Global Rating,Global Rating Count,Duration (min),Genres,Start Year,End Year,url
213.0,Sons of Anarchy,92,TV Series,8.5,2909.4,8.6,320234.0,45.0,"Crime ,Drama ,Thriller",2008,2014.0,https://www.imdb.com/title/tt1124373
214.0,Neon Genesis Evangelion,26,TV Series,8.1,2113.6,8.5,83348.0,24.0,"Animation ,Action ,Drama",1995,1996.0,https://www.imdb.com/title/tt0112159
215.0,Shameless,134,TV Series,8.2,1843.7,8.5,279004.0,46.0,"Comedy ,Drama",2011,2021.0,https://www.imdb.com/title/tt1586680
216.0,Twin Peaks,48,TV Series,8.6,5014.3,8.5,74830.0,1032.0,"Crime ,Drama ,Horror",2017,2017.0,https://www.imdb.com/title/tt4093826
217.0,Trailer Park Boys,106,TV Series,8.2,441.3,8.5,49857.0,30.0,"Comedy ,Crime",2001,2018.0,https://www.imdb.com/title/tt0290988
218.0,Brass Eye,7,TV Series,8.2,302.9,8.6,11481.0,25.0,Comedy,1997,2001.0,https://www.imdb.com/title/tt0118273
219.0,Skam,43,TV Series,8.2,500.9,8.6,38137.0,30.0,"Drama ,Romance",2015,2017.0,https://www.imdb.com/title/tt5288312
220.0,Letterkenny,81,TV Series,8.2,291.2,8.6,28773.0,30.0,Comedy,2016,2023.0,https://www.imdb.com/title/tt4647692
221.0,North & South,4,TV Mini Series,8.2,453.5,8.6,34665.0,235.0,"Drama ,Romance",2004,2004.0,https://www.imdb.com/title/tt0417349
222.0,Spartacus: Gods of the Arena,6,TV Mini Series,8.5,3966.5,8.5,144548.0,331.0,"Action ,Adventure ,Biography",2011,2011.0,https://www.imdb.com/title/tt1758429
223.0,Silicon Valley,53,TV Series,8.2,1803.3,8.5,164206.0,28.0,Comedy,2014,2019.0,https://www.imdb.com/title/tt2575988
224.0,Regular Show,244,TV Series,8.5,2909.7,8.5,56041.0,23.0,"Animation ,Action ,Adventure",2010,2017.0,https://www.imdb.com/title/tt1710308
225.0,Doctor Who,179,TV Series,7.6,7222.5,8.6,244704.0,45.0,"Adventure ,Drama ,Sci-Fi",2005,2050.0,https://www.imdb.com/title/tt0436992
226.0,Extraordinary Attorney Woo,16,TV Series,8.4,592.6,8.6,25314.0,75.0,Drama,2022,2022.0,https://www.imdb.com/title/tt20869502
227.0,Fullmetal Alchemist,50,TV Series,8.0,510.0,8.5,76796.0,24.0,"Animation ,Action ,Adventure",2003,2004.0,https://www.imdb.com/title/tt0421357
228.0,Schitt's Creek,80,TV Series,8.0,1585.0,8.5,143201.0,22.0,Comedy,2015,2020.0,https://www.imdb.com/title/tt3526078
